('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         868114 function calls (847119 primitive calls) in 8.743 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      970    2.593    0.003    2.593    0.003 {method 'read' of '_ssl._SSLSocket' objects}
        2    0.467    0.233    0.467    0.233 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        2    0.178    0.089    0.178    0.089 {method 'connect' of '_socket.socket' objects}
        2    0.061    0.030    0.062    0.031 {built-in method _socket.getaddrinfo}
     4185    0.025    0.000    0.135    0.000 parser.py:300(parse_starttag)
    37621    0.023    0.000    0.023    0.000 {method 'match' of 're.Pattern' objects}
    26/24    0.022    0.001    0.022    0.001 {built-in method _imp.create_dynamic}
 4445/173    0.017    0.000    0.048    0.000 sre_parse.py:493(_parse)
        2    0.017    0.008    0.225    0.112 parser.py:133(goahead)
     4186    0.011    0.000    0.031    0.000 element.py:1813(__init__)
        2    0.010    0.005    0.010    0.005 {method 'set_default_verify_paths' of '_ssl._SSLContext' objects}
     4185    0.010    0.000    0.015    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
 4937/163    0.010    0.000    0.022    0.000 sre_compile.py:71(_compile)
     4185    0.010    0.000    0.063    0.000 __init__.py:990(handle_starttag)
    12242    0.008    0.000    0.008    0.000 element.py:382(setup)
     4185    0.008    0.000    0.040    0.000 _htmlparser.py:204(handle_endtag)
     8696    0.007    0.000    0.034    0.000 __init__.py:829(endData)
     4185    0.007    0.000    0.073    0.000 _htmlparser.py:142(handle_starttag)
       87    0.007    0.000    0.007    0.000 {built-in method marshal.loads}
     3953    0.007    0.000    0.050    0.000 parser.py:385(parse_endtag)
     4186    0.006    0.000    0.006    0.000 __init__.py:812(pushTag)
    16649    0.006    0.000    0.010    0.000 _markupbase.py:48(updatepos)
        1    0.005    0.005    0.005    0.005 {built-in method _scproxy._get_proxies}
     4184    0.005    0.000    0.011    0.000 __init__.py:953(_popToTag)
    21609    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    87257    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
