('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         954187 function calls (928762 primitive calls) in 4.723 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    96359    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
74706/68323    0.005    0.000    0.006    0.000 {built-in method builtins.len}
66860/66856    0.005    0.000    0.005    0.000 {built-in method builtins.isinstance}
    37581    0.023    0.000    0.023    0.000 {method 'match' of 're.Pattern' objects}
    30021    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
    27330    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
    25793    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
    23496    0.002    0.000    0.002    0.000 {method 'lower' of 'str' objects}
    22984    0.002    0.000    0.002    0.000 {method 'end' of 're.Match' objects}
    21571    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
    17204    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
    16929    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
    16633    0.006    0.000    0.010    0.000 _markupbase.py:48(updatepos)
    14855    0.002    0.000    0.002    0.000 {built-in method builtins.min}
    13504    0.001    0.000    0.001    0.000 typing.py:1340(cast)
    12700    0.002    0.000    0.003    0.000 sre_parse.py:160(__len__)
    12528    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
    12423    0.002    0.000    0.004    0.000 sre_parse.py:249(match)
    12238    0.008    0.000    0.008    0.000 element.py:382(setup)
    12213    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
     9620    0.002    0.000    0.007    0.000 __init__.py:122(unescape)
     9397    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
9138/9115    0.003    0.000    0.007    0.000 typing.py:269(inner)
     8688    0.007    0.000    0.035    0.000 __init__.py:829(endData)
     8651    0.002    0.000    0.002    0.000 filter.py:259(_base_match)
     8594    0.001    0.000    0.002    0.000 element.py:3090(descendants)
     8564    0.001    0.000    0.006    0.000 {built-in method builtins.next}
     8494    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
     8209    0.002    0.000    0.011    0.000 filter.py:726(match)
     7961    0.001    0.000    0.003    0.000 filter.py:292(matches_string)
7802/7734    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     7629    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     7584    0.002    0.000    0.002    0.000 sre_parse.py:172(append)
     7275    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     6271    0.002    0.000    0.002    0.000 sre_parse.py:111(__init__)
 5593/204    0.012    0.000    0.027    0.000 sre_compile.py:71(_compile)
 5549/394    0.005    0.000    0.008    0.000 sre_parse.py:174(getwidth)
 4798/216    0.021    0.000    0.060    0.000 sre_parse.py:493(_parse)
     4658    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
     4439    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x100f2e860}
     4399    0.001    0.000    0.001    0.000 sre_parse.py:286(tell)
     4244    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
     4244    0.001    0.000    0.001    0.000 {built-in method builtins.max}
     4182    0.006    0.000    0.006    0.000 __init__.py:812(pushTag)
     4182    0.001    0.000    0.001    0.000 __init__.py:290(can_be_empty_element)
     4182    0.001    0.000    0.001    0.000 __init__.py:636(set_up_substitutions)
     4182    0.011    0.000    0.037    0.000 element.py:1813(__init__)
     4181    0.004    0.000    0.005    0.000 __init__.py:789(popTag)
     4181    0.011    0.000    0.070    0.000 __init__.py:990(handle_starttag)
     4181    0.015    0.000    0.020    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
     4181    0.001    0.000    0.002    0.000 element.py:2007(is_empty_element)
     4181    0.000    0.000    0.000    0.000 element.py:2414(__bool__)
     4181    0.003    0.000    0.009    0.000 filter.py:540(matches_tag)
     4181    0.027    0.000    0.144    0.000 parser.py:300(parse_starttag)
     4181    0.003    0.000    0.011    0.000 parser.py:351(check_for_whole_start_tag)
     4181    0.001    0.000    0.001    0.000 _markupbase.py:40(getpos)
     4181    0.007    0.000    0.080    0.000 _htmlparser.py:142(handle_starttag)
     4181    0.008    0.000    0.041    0.000 _htmlparser.py:204(handle_endtag)
     4180    0.005    0.000    0.011    0.000 __init__.py:953(_popToTag)
     4180    0.003    0.000    0.033    0.000 __init__.py:1056(handle_endtag)
     4074    0.001    0.000    0.001    0.000 __init__.py:1068(handle_data)
     4073    0.000    0.000    0.000    0.000 {method 'keys' of 'dict' objects}
     4028    0.004    0.000    0.007    0.000 __init__.py:735(string_container)
     4028    0.005    0.000    0.014    0.000 __init__.py:870(object_was_parsed)
     4028    0.003    0.000    0.006    0.000 element.py:1478(__new__)
     3949    0.007    0.000    0.051    0.000 parser.py:385(parse_endtag)
     3949    0.001    0.000    0.001    0.000 parser.py:126(clear_cdata_mode)
     3911    0.001    0.000    0.003    0.000 _htmlparser.py:222(handle_data)
     3803    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
     3759    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     3332    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
     3234    0.002    0.000    0.002    0.000 {method 'findall' of 're.Pattern' objects}
     2770    0.003    0.000    0.003    0.000 __init__.py:91(_replace_charref)
     2585    0.000    0.000    0.002    0.000 css_parser.py:317(match)
     2488    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:231(_verbose_message)
     2376    0.005    0.000    0.005    0.000 __init__.py:909(_linkage_fixer)
     2341    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:123(<listcomp>)
     2341    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:121(_path_join)
     2103    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
 2083/952    0.000    0.000    0.030    0.000 {built-in method builtins.hasattr}
     1687    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1670    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
     1427    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1396    0.001    0.000    0.001    0.000 sre_parse.py:168(__setitem__)
     1337    0.001    0.000    0.004    0.000 filter.py:629(_match_attribute_value_helper)
 1298/205    0.004    0.000    0.060    0.000 sre_parse.py:435(_parse_sub)
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
     1093    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
     1074    0.001    0.000    0.001    0.000 sre_parse.py:295(_class_escape)
     1072    0.000    0.000    0.000    0.000 {built-in method builtins.setattr}
     1037    0.000    0.000    0.001    0.000 sre_compile.py:423(_simple)
      962    0.000    0.000    0.000    0.000 {built-in method fromkeys}
      962    0.002    0.000    0.005    0.000 {method 'sub' of 're.Pattern' objects}
      962    0.000    0.000    0.001    0.000 sre_parse.py:432(_uniq)
      961    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      954    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      937    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
      923    0.001    0.000    0.001    0.000 sre_compile.py:249(_compile_charset)
      923    0.006    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
      889    0.004    0.000    0.004    0.000 {built-in method posix.stat}
      879    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:135(_path_stat)
      835    0.001    0.000    0.001    0.000 sre_parse.py:355(_escape)
      806    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      785    0.000    0.000    0.000    0.000 sre_parse.py:81(groups)
      777    0.000    0.000    0.000    0.000 element.py:2355(get)
      768    0.000    0.000    0.000    0.000 os.py:758(decode)
      737    0.000    0.000    0.000    0.000 typing.py:655(_is_dunder)
      737    0.000    0.000    0.001    0.000 typing.py:703(__setattr__)
  700/652    0.000    0.000    0.000    0.000 {built-in method builtins.hash}
      690    0.001    0.000    0.005    0.000 filter.py:618(_attribute_match)
      690    0.000    0.000    0.000    0.000 filter.py:321(matches_tag)
      683    0.000    0.000    0.000    0.000 ssl.py:1078(_checkClosed)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:874(__enter__)
      632    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:878(__exit__)
      628    0.000    0.000    0.003    0.000 enum.py:358(__call__)
      618    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:129(<genexpr>)
      618    0.000    0.000    0.001    0.000 enum.py:670(__new__)
  572/570    0.000    0.000    0.000    0.000 {method 'encode' of 'str' objects}
      545    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1337(_path_importer_cache)
  537/536    0.006    0.000    0.041    0.000 {built-in method builtins.__build_class__}
      533    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.lock' objects}
      507    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      500    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      496    0.002    0.000    0.002    0.000 css_types.py:41(__init__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      479    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      477    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      459    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:79(_unpack_uint32)
      455    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:64(_relax_case)
      455    0.002    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:1505(find_spec)
      420    0.000    0.000    0.000    0.000 {built-in method _thread.allocate_lock}
      416    0.000    0.000    0.001    0.000 _collections_abc.py:850(__iter__)
      415    0.000    0.000    0.001    0.000 sre_parse.py:258(getwhile)
      408    0.000    0.000    0.000    0.000 sre_compile.py:595(isstring)
      405    0.000    0.000    0.001    0.000 os.py:674(__getitem__)
      405    0.000    0.000    0.000    0.000 os.py:754(encode)
      397    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:398(parent)
      390    0.000    0.000    0.000    0.000 os.py:697(__iter__)
      384    0.000    0.000    0.000    0.000 element.py:2068(_all_strings)
      362    0.000    0.000    0.000    0.000 sre_compile.py:453(_get_iscased)
      356    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      351    0.000    0.000    0.000    0.000 {method 'lstrip' of 'str' objects}
      351    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:175(_path_isabs)
      344    0.000    0.000    0.000    0.000 enum.py:462(__setattr__)
      341    0.000    0.000    0.000    0.000 socket.py:729(readable)
      341    0.001    0.000    0.003    0.000 css_parser.py:1108(selector_iter)
      339    0.000    0.000    0.000    0.000 {method '_checkClosed' of '_io._IOBase' objects}
      339    0.000    0.000    0.000    0.000 {method '_checkReadable' of '_io._IOBase' objects}
      339    0.001    0.000    3.247    0.010 socket.py:690(readinto)
      339    0.000    0.000    3.244    0.010 ssl.py:1090(read)
      339    0.001    0.000    3.245    0.010 ssl.py:1230(recv_into)
      339    3.244    0.010    3.244    0.010 {method 'read' of '_ssl._SSLSocket' objects}
      338    0.000    0.000    0.000    0.000 typing.py:733(<genexpr>)
      336    0.000    0.000    0.000    0.000 {method 'rfind' of 'str' objects}
      333    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:385(cached)
      330    0.002    0.000    0.099    0.000 re.py:289(_compile)
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.099    0.000 re.py:250(compile)
      322    0.000    0.000    0.000    0.000 css_parser.py:248(css_unescape)
      309    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:127(_path_split)
      306    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(cache_from_source)
      285    0.000    0.000    0.000    0.000 css_parser.py:344(match)
      283    0.000    0.000    0.000    0.000 enum.py:44(_is_private)
      283    0.000    0.000    0.000    0.000 enum.py:33(_is_sunder)
      283    0.000    0.000    0.000    0.000 enum.py:22(_is_dunder)
      283    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
      279    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      273    0.000    0.000    0.000    0.000 {method 'translate' of 'bytearray' objects}
      273    0.001    0.000    0.001    0.000 sre_compile.py:413(<listcomp>)
      273    0.000    0.000    0.001    0.000 sre_compile.py:411(_mk_bitmap)
      266    0.000    0.000    0.000    0.000 types.py:171(__get__)
      266    0.000    0.000    0.000    0.000 enum.py:792(value)
      257    0.000    0.000    0.000    0.000 hmac.py:18(<genexpr>)
      257    0.000    0.000    0.000    0.000 hmac.py:19(<genexpr>)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:87(acquire)
      253    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:112(release)
      253    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:166(_get_module_lock)
      253    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:145(_path_is_mode_type)
      247    0.000    0.000    0.000    0.000 sre_compile.py:65(_combine_flags)
    246/3    0.000    0.000    0.206    0.069 <frozen importlib._bootstrap>:220(_call_with_frames_removed)
      244    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      240    0.000    0.000    0.000    0.000 socket.py:93(<lambda>)
      239    0.000    0.000    0.000    0.000 socket.py:88(<lambda>)
      238    0.000    0.000    0.000    0.000 socket.py:83(<lambda>)
      237    0.000    0.000    0.000    0.000 socket.py:78(<lambda>)
      235    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:154(_path_isfile)
      234    0.000    0.000    0.000    0.000 enum.py:12(_is_descriptor)
  229/190    0.000    0.000    0.000    0.000 sre_compile.py:461(_get_literal_prefix)
      222    0.000    0.000    0.000    0.000 typing.py:128(_type_convert)
      217    0.002    0.000    0.740    0.003 {method 'read' of '_io.BufferedReader' objects}
      212    0.000    0.000    0.001    0.000 typing.py:137(_type_check)
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:351(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:152(__init__)
      208    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:156(__enter__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:160(__exit__)
      208    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:185(cb)
    208/3    0.001    0.000    0.207    0.069 <frozen importlib._bootstrap>:1002(_find_and_load)
    207/3    0.000    0.000    0.207    0.069 <frozen importlib._bootstrap>:967(_find_and_load_unlocked)
      206    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(find_spec)
  206/167    0.001    0.000    0.039    0.000 <frozen importlib._bootstrap>:901(_find_spec)
      205    0.000    0.000    0.000    0.000 sre_parse.py:76(__init__)
      204    0.000    0.000    0.000    0.000 {built-in method _sre.compile}
      204    0.000    0.000    0.001    0.000 enum.py:977(__and__)
      204    0.001    0.000    0.007    0.000 sre_compile.py:536(_compile_info)
      204    0.000    0.000    0.034    0.000 sre_compile.py:598(_code)
      204    0.001    0.000    0.096    0.000 sre_compile.py:759(compile)
      204    0.000    0.000    0.000    0.000 sre_parse.py:224(__init__)
      204    0.000    0.000    0.000    0.000 sre_parse.py:921(fix_flags)
      204    0.000    0.000    0.061    0.000 sre_parse.py:937(parse)
      202    0.000    0.000    0.000    0.000 {built-in method _imp.is_frozen}
      202    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:811(find_spec)
      202    0.001    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1374(_get_spec)
      202    0.000    0.000    0.012    0.000 <frozen importlib._bootstrap_external>:1406(find_spec)
      199    0.000    0.000    0.001    0.000 css_types.py:360(__init__)
      195    0.000    0.000    0.000    0.000 {method 'split' of 'str' objects}
      195    0.000    0.000    0.000    0.000 typing_extensions.py:182(_should_collect_from_parameters)
      195    0.000    0.000    0.000    0.000 typing_extensions.py:1581(get_origin)
      195    0.000    0.000    0.000    0.000 typing_extensions.py:3165(_is_unpacked_typevartuple)
