('Total Revenue', '293,812,000', '281,724,000', '245,122,000', '211,915,000', '198,270,000')
         961945 function calls (936534 primitive calls) in 7.931 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.005    5.005    5.005    5.005 {built-in method time.sleep}
      342    1.832    0.005    1.832    0.005 {method 'read' of '_ssl._SSLSocket' objects}
        3    0.255    0.085    0.255    0.085 {built-in method _socket.gethostbyname}
        1    0.239    0.239    0.239    0.239 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.088    0.088    0.088    0.088 {method 'connect' of '_socket.socket' objects}
     4255    0.026    0.000    0.146    0.000 parser.py:300(parse_starttag)
    38403    0.024    0.000    0.024    0.000 {method 'match' of 're.Pattern' objects}
 4798/216    0.021    0.000    0.060    0.000 sre_parse.py:493(_parse)
    27/24    0.020    0.001    0.021    0.001 {built-in method _imp.create_dynamic}
     4255    0.018    0.000    0.022    0.000 __init__.py:382(_replace_cdata_list_attribute_values)
        2    0.017    0.009    0.237    0.118 parser.py:133(goahead)
      153    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
 5593/204    0.012    0.000    0.027    0.000 sre_compile.py:71(_compile)
     4256    0.011    0.000    0.039    0.000 element.py:1813(__init__)
     4255    0.011    0.000    0.072    0.000 __init__.py:990(handle_starttag)
    12314    0.008    0.000    0.008    0.000 element.py:382(setup)
     4255    0.008    0.000    0.041    0.000 _htmlparser.py:204(handle_endtag)
        3    0.008    0.003    0.008    0.003 {built-in method _scproxy._get_proxy_settings}
      153    0.008    0.000    0.008    0.000 {built-in method io.open_code}
     8836    0.007    0.000    0.034    0.000 __init__.py:829(endData)
     4255    0.007    0.000    0.082    0.000 _htmlparser.py:142(handle_starttag)
        1    0.007    0.007    0.007    0.007 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
     4024    0.007    0.000    0.050    0.000 parser.py:385(parse_endtag)
    25793    0.007    0.000    0.007    0.000 sre_parse.py:233(__next)
  537/536    0.006    0.000    0.041    0.000 {built-in method builtins.__build_class__}
     4256    0.006    0.000    0.006    0.000 __init__.py:812(pushTag)
       42    0.006    0.000    0.006    0.000 {method 'decompress' of 'zlib.Decompress' objects}
    30007    0.006    0.000    0.008    0.000 sre_parse.py:164(__getitem__)
      923    0.006    0.000    0.008    0.000 sre_compile.py:276(_optimize_charset)
    16933    0.006    0.000    0.010    0.000 _markupbase.py:48(updatepos)
    96872    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
     4254    0.005    0.000    0.011    0.000 __init__.py:953(_popToTag)
    22100    0.005    0.000    0.005    0.000 {method 'group' of 're.Match' objects}
66954/66950    0.005    0.000    0.006    0.000 {built-in method builtins.isinstance}
     4029    0.005    0.000    0.014    0.000 __init__.py:870(object_was_parsed)
    12753    0.005    0.000    0.005    0.000 {method 'search' of 're.Pattern' objects}
 5549/394    0.005    0.000    0.007    0.000 sre_parse.py:174(getwidth)
74902/68533    0.005    0.000    0.006    0.000 {built-in method builtins.len}
     2376    0.005    0.000    0.005    0.000 __init__.py:909(_linkage_fixer)
     4255    0.005    0.000    0.005    0.000 __init__.py:789(popTag)
 1298/205    0.004    0.000    0.060    0.000 sre_parse.py:435(_parse_sub)
      889    0.004    0.000    0.004    0.000 {built-in method posix.stat}
    12365    0.004    0.000    0.004    0.000 {method 'count' of 'str' objects}
    16929    0.004    0.000    0.008    0.000 sre_parse.py:254(get)
     4029    0.003    0.000    0.006    0.000 __init__.py:735(string_container)
9213/9190    0.003    0.000    0.007    0.000 typing.py:269(inner)
      193    0.003    0.000    0.017    0.000 filter.py:130(filter)
    17432    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
     4029    0.003    0.000    0.006    0.000 element.py:1478(__new__)
     4255    0.003    0.000    0.012    0.000 parser.py:351(check_for_whole_start_tag)
    27629    0.003    0.000    0.003    0.000 {method 'get' of 'dict' objects}
     4255    0.003    0.000    0.009    0.000 filter.py:540(matches_tag)
     4440    0.003    0.000    0.003    0.000 {built-in method __new__ of type object at 0x100ff6860}
     4254    0.003    0.000    0.032    0.000 __init__.py:1056(handle_endtag)
